,Main,title,link,text,productLink
0,进口食品,进口牛奶,https://list.tmall.com/search_product.htm?spm=3.405264.315613.3.NggqAe&user_id=725677994&cat=51462017&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&scm=1003.4.lb-zebra-26901-329683.OTHER_9_468295,进口纯牛奶,https://list.tmall.com/search_product.htm?spm=1.1.0.0.PJMbwM&user_id=725677994&cat=51440019&active=1&acm=lb-zebra-26901-351264.1003.4.468294&style=g&sort=s&scm=1003.4.lb-zebra-26901-351264.OTHER_14440874222721_468294&industryCatId=51462017
1,进口食品,进口牛奶,https://list.tmall.com/search_product.htm?spm=3.405264.315613.3.NggqAe&user_id=725677994&cat=51462017&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&scm=1003.4.lb-zebra-26901-329683.OTHER_9_468295,进口酸奶,https://list.tmall.com/search_product.htm?spm=1.1.0.0.1n8FE3&user_id=725677994&cat=51456017&active=1&acm=lb-zebra-26901-351264.1003.4.468294&style=g&sort=s&scm=1003.4.lb-zebra-26901-351264.OTHER_14440870375242_468294&industryCatId=51462017
2,进口食品,进口牛奶,https://list.tmall.com/search_product.htm?spm=3.405264.315613.3.NggqAe&user_id=725677994&cat=51462017&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&scm=1003.4.lb-zebra-26901-329683.OTHER_9_468295,进口成人奶粉,https://list.tmall.com/search_product.htm?spm=1.1.0.0.Pp5jwS&user_id=725677994&cat=53992015&active=1&acm=lb-zebra-26901-351264.1003.4.468294&style=g&sort=td&search_condition=23&scm=1003.4.lb-zebra-26901-351264.OTHER_14440881917703_468294&industryCatId=51462017
3,进口食品,进口牛奶,https://list.tmall.com/search_product.htm?spm=3.405264.315613.3.NggqAe&user_id=725677994&cat=51462017&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&scm=1003.4.lb-zebra-26901-329683.OTHER_9_468295,进口含乳饮料,https://list.tmall.com/search_product.htm?spm=1.1.0.0.3gPZwb&user_id=725677994&cat=51470006&active=1&acm=lb-zebra-26901-351264.1003.4.468294&style=g&sort=s&scm=1003.4.lb-zebra-26901-351264.OTHER_14440878070214_468294&industryCatId=51462017
4,进口食品,进口牛奶,https://list.tmall.com/search_product.htm?spm=3.405264.315613.3.NggqAe&user_id=725677994&cat=51462017&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&scm=1003.4.lb-zebra-26901-329683.OTHER_9_468295,进口有机牛奶,https://list.tmall.com/search_product.htm?spm=1.1.0.0.xWLqBi&user_id=725677994&cat=51462017&prop=2445415:21958&active=1&is=prop&acm=lb-zebra-26901-351264.1003.4.468294&style=g&sort=s&scm=1003.4.lb-zebra-26901-351264.OTHER_14440858832775_468294&industryCatId=51462017#J_crumbs
5,进口食品,进口牛奶,https://list.tmall.com/search_product.htm?spm=3.405264.315613.3.NggqAe&user_id=725677994&cat=51462017&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&scm=1003.4.lb-zebra-26901-329683.OTHER_9_468295,进口酸奶粉,https://list.tmall.com/search_product.htm?spm=1.1.0.0.mg24Hs&user_id=725677994&cat=51462017&active=1&is=brand&acm=lb-zebra-26901-351264.1003.4.468294&style=g&sort=s&scm=1003.4.lb-zebra-26901-351264.OTHER_14440854985286_468294&industryCatId=51462017&brand=8551740
6,进口食品,进口零食,https://list.tmall.com/search_product.htm?spm=1.1.0.0.jDBRKO&user_id=725677994&cat=51448014&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&search_condition=23&scm=1003.4.lb-zebra-26901-329683.OTHER_1_468295&industryCatId=51462017,进口蜜饯果干,https://list.tmall.com/search_product.htm?spm=1.1.0.0.6Db6yC&user_id=725677994&cat=51456019&active=1&acm=lb-zebra-26901-330370.1003.4.456139&style=g&search_condition=23&scm=1003.4.lb-zebra-26901-330370.OTHER_14434798671511_456139&industryCatId=51462017
7,进口食品,进口零食,https://list.tmall.com/search_product.htm?spm=1.1.0.0.jDBRKO&user_id=725677994&cat=51448014&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&search_condition=23&scm=1003.4.lb-zebra-26901-329683.OTHER_1_468295&industryCatId=51462017,进口薯片/膨化,https://list.tmall.com/search_product.htm?spm=1.1.0.0.KR6xOF&user_id=725677994&cat=51462016&active=1&acm=lb-zebra-26901-330370.1003.4.456139&style=g&search_condition=23&scm=1003.4.lb-zebra-26901-330370.OTHER_14434794824032_456139&industryCatId=51462017
8,进口食品,进口零食,https://list.tmall.com/search_product.htm?spm=1.1.0.0.jDBRKO&user_id=725677994&cat=51448014&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&search_condition=23&scm=1003.4.lb-zebra-26901-329683.OTHER_1_468295&industryCatId=51462017,进口坚果,https://list.tmall.com/search_product.htm?spm=1.1.0.0.RTK7H7&user_id=725677994&cat=51456020&active=1&acm=lb-zebra-26901-330370.1003.4.456139&style=g&search_condition=23&scm=1003.4.lb-zebra-26901-330370.OTHER_14434806366493_456139&industryCatId=51462017
9,进口食品,进口零食,https://list.tmall.com/search_product.htm?spm=1.1.0.0.jDBRKO&user_id=725677994&cat=51448014&active=1&acm=lb-zebra-26901-329683.1003.4.468295&style=g&search_condition=23&scm=1003.4.lb-zebra-26901-329683.OTHER_1_468295&industryCatId=51462017,进口糖果,https://list.tmall.com/search_product.htm?spm=1.1.0.0.vA1gmV&user_id=725677994&cat=51440016&active=1&acm=lb-zebra-26901-330370.1003.4.456139&style=g&sort=td&search_condition=23&scm=1003.4.lb-zebra-26901-330370.OTHER_14434802519004_456139&industryCatId=51448011
